Sequence,PageUrn,RV,Label
2,uppercover,recto,"Bodleian Library Barocci 162, upper cover"
3,insideuppercover,verso,"Bodleian Library Barocci 162, inside upper cover"

5,iv,verso,"Bodleian Library Barocci 162, folio i verso" 
6,iir,recto,"Bodleian Library Barocci 162, folio ii recto" 
7,iiv,verso,"Bodleian Library Barocci 162, folio ii verso" 
8,1r,recto,"Bodleian Library Barocci 162, folio 1 recto"
9,1v,verso,"Bodleian Library Barocci 162, folio 1 verso"
